TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,,,
08/24/2025,18.4,25.4,20.6,86,0,7.7,4,310,1,C,,,KETERANGAN:
08/23/2025,17.8,26.8,21.7,84,0.8,4.8,2,340,0,C,,,8888: Data tidak terukur
08/22/2025,18.7,25.3,21.6,92,6.6,2.9,4,330,0,C,,,9999: Tidak Ada Data (tidak dilakukan pengukuran)
08/21/2025,18,26.6,21.3,81,1.6,1.6,3,330,1,C,,,Tn: Temperatur minimum	(°C)
08/20/2025,18.8,26,21.2,87,2.5,0.1,3,320,1,C,,,Tx: Temperatur maksimum(°C)
08/19/2025,19,23.6,20.9,91,1.5,4.5,3,340,1,C,,,Tavg: Temperatur rata-rata(°C)
08/18/2025,18.6,27.4,23,73,0,8,4,70,1,C,,,RH_avg: Kelembapan rata-rata(%)
08/17/2025,17.2,28.2,22,80,14,6.8,3,90,1,C,,,RR: Curah hujan(mm)
08/16/2025,17.4,26,21.2,81,0,6.7,4,30,1,C,,,ss: Lamanya penyinaran matahari(jam)
08/15/2025,17.5,26.6,20.6,80,1.9,1.2,2,250,0,C,,,ff_x: Kecepatan angin maksimum(m/s)
08/14/2025,17.8,23.8,20,88,2.4,1.9,3,340,0,C,,,ddd_x: Arah angin saat kecepatan maksimum(°)
08/13/2025,18,26.2,20.7,89,25,0,3,340,0,C,,,ff_avg: Kecepatan angin rata-rata(m/s)
08/12/2025,19.2,22.6,20.2,96,30.1,2.7,2,320,0,C,,,ddd_car: Arah angin terbanyak(°)
08/11/2025,18.8,24.6,20.4,93,0.5,6.5,3,330,1,C,,,
08/10/2025,18.4,26.4,21.7,87,0.2,4.9,4,340,1,C,,,
08/09/2025,19.2,25.8,21,91,0,6.3,3,330,1,C,,,
08/08/2025,18.8,26.4,21.7,89,2.8,4.7,3,240,1,C,,,
08/07/2025,17.6,25.6,20.8,85,19.4,4.1,2,320,0,C,,,
08/06/2025,18.8,26.1,21.6,86,22.8,5.1,3,270,1,C,,,
08/05/2025,18.2,26.2,21.1,88,55.5,4.6,4,320,1,C,,,
08/04/2025,19,25.6,20.7,94,23,4.9,3,320,1,C,,,
08/03/2025,16.8,26.4,21,84,0,8,3,340,1,C,,,
08/02/2025,18.2,27.5,22.3,73,0,8,3,240,1,C,,,
08/01/2025,18.3,27.9,22.2,82,0,6.4,5,340,1,C,,,
07/31/2025,18.6,27.4,22.3,87,6,4.5,3,310,1,C,,,
07/30/2025,18.7,25.8,21.2,92,8888,5.3,4,320,1,C,,,
07/29/2025,18.2,26.6,21.6,90,31.5,4.5,3,330,1,C,,,
07/28/2025,19,26.4,21.2,89,8888,6.5,4,330,0,C,,,
07/27/2025,18.8,27.2,22.2,82,0,7,3,290,1,C,,,
07/26/2025,18.4,27.8,22.4,80,0,6.8,3,320,0,C,,,
